"year","Region","latitude","longitude","Elevation","VEI"
1940,"Izu Is-Japan_Miyake-jima",34.08,139.53,815,2
1940,"_Lengai",NA,NA,NA,NA
1941,"Honshu-Japan_Asama",36.4,138.53,2560,2
1941,"Java_Semeru",-8.108,112.92,3676,2
1943,"Mexico_Michoacan-Guanajuato",19.48,-102.25,3860,4
1943,"_Azul",NA,NA,NA,NA
1944,"Italy_Vesuvius",40.821,14.426,1281,2
1944,"Aleutian Is_Cleveland",52.82,-169.95,1730,3
1944,"Hokkaido-Japan_Usu",42.53,140.83,731,2
1944,"Italy_Stromboli",38.789,15.213,926,2
1944,"Hokkaido-Japan_Usu",42.53,140.83,731,2
1944,"Java_Dieng Volc Complex",-7.2,109.92,2565,2
1946,"Kyushu-Japan_Sakura-jima",31.58,130.67,1117,2
1946,"Java_Semeru",-8.108,112.92,3676,2
1946,"Java_Semeru",-8.108,112.92,3676,2
1947,"Luzon-Philippines_Mayon",13.257,123.685,2462,2
1947,"Honshu-Japan_Asama",36.4,138.53,2560,2
1947,"Honshu-Japan_Akagi",36.53,139.18,1828,NA
1947,"Iceland-S_Hekla",63.98,-19.7,1491,4
1948,"Lesser Sunda Is_Iliwerung",-8.54,123.59,1018,2
1949,"Chile-C_Villarrica",-39.42,-71.93,2847,3
1949,"Colombia_Purace",2.32,-76.4,4650,2
1949,"Mindanao-Philippines_Camiguin",9.203,124.673,1332,3
1950,"Java_Semeru",-8.108,112.92,3676,1
1950,"Mindanao-Philippines_Camiguin",9.203,124.673,1332,3
1950,"Honshu-Japan_Asama",36.4,138.53,2560,2
1951,"New Guinea_Lamington",-8.95,148.15,1680,4
1951,"Nicaragua_Cosiguina",12.98,-87.57,872,NA
1951,"Java_Kelut",-7.93,112.308,1731,3
1951,"Honshu-Japan_Hakone",35.22,139.02,1438,NA
1951,"Mindanao-Philippines_Camiguin",9.203,124.673,1332,3
1951,"Solomon Is-SW Pacifi_Kavachi",-9.02,157.95,-20,2
1952,"Honshu-Japan_Hakone",35.22,139.02,1438,NA
1952,"Izu Is-Japan_Myojun Knoll",32.1,139.85,360,2
1952,"Izu Is-Japan_Myojun Knoll",32.1,139.85,360,2
1952,"Izu Is-Japan_Myojun Knoll",32.1,139.85,360,2
1952,"Izu Is-Japan_Myojun Knoll",32.1,139.85,360,2
1952,"Luzon-Philippines_Ambalatungan Group",17.32,121.1,2329,1
1953,"Izu Is-Japan_Myojun Knoll",32.1,139.85,360,2
1953,"Java_Merapi",-7.542,110.442,2947,3
1953,"Izu Is-Japan_Myojun Knoll",32.1,139.85,360,2
1953,"Kyushu-Japan_Aso",32.88,131.1,1592,2
1953,"Admiralty Is-SW Paci_St. Andrew Strait",-2.38,147.35,270,0
1953,"Lesser Sunda Is_Sirung",-8.51,124.148,862,0
1953,"Honshu-Japan_Hakone",35.22,139.02,1438,NA
1953,"Izu Is-Japan_Oshima",34.73,139.38,758,1
1953,"New Zealand_Ruapehu",-39.28,175.57,2797,NA
1954,"Italy_Stromboli",38.789,15.213,926,NA
1954,"Honshu-Japan_Tate-yama",36.57,137.6,2621,NA
1954,"New Guinea-NE of_Bam",-3.6,144.85,685,2
1954,"Mindanao-Philippines_Camiguin",9.203,124.673,1332,NA
1955,"Chile-C_Carran-Los Venados",-40.35,-72.07,1114,4
1955,"Kyushu-Japan_Sakura-jima",31.58,130.67,1117,3
1956,"Kamchatka_Bezymianny",55.978,160.587,2882,5
1957,"Aleutian Is_Vsevidof",53.13,-168.68,2149,2
1957,"Kyushu-Japan_Unzen",32.75,130.3,1500,NA
1957,"Izu Is-Japan_Oshima",34.73,139.38,758,2
1957,"Kyushu-Japan_Aso",32.88,131.1,1592,2
1958,"Sulawesi-Indonesia_Mahawu",1.358,124.858,1324,2
1958,"Hokkaido-Japan_Daisetsu",43.68,142.88,2290,NA
1958,"Vanuatu-SW Pacific_Kuwae",-16.829,168.536,-2,2
1960,"Chile-C_Puyehue",-40.59,-72.117,2236,3
1961,"Chile-S_Calbuco",-41.326,-72.614,2003,3
1961,"Honshu-Japan_Tate-yama",36.57,137.6,2621,NA
1961,"Java_Merapi",-7.542,110.442,2947,3
1961,"Hokkaido-Japan_Daisetsu",43.68,142.88,2290,NA
1961,"Honshu-Japan_Asama",36.4,138.53,2560,2
1962,"Hokkaido-Japan_Tokachi",43.42,142.68,2077,3
1962,"Java_Merapi",-7.542,110.442,2947,NA
1962,"Halmahera-Indonesia_Gamalama",0.8,127.325,1715,2
1963,"Costa Rica_Irazu",9.979,-83.852,3432,3
1963,"Lesser Sunda Is_Agung",-8.342,115.508,3142,4
1963,"Java_Semeru",-8.108,112.92,3676,2
1963,"Lesser Sunda Is_Agung",-8.342,115.508,3142,3
1963,"Chile-C_Villarrica",-39.42,-71.93,2847,2
1963,"Lesser Sunda Is_Batur",-8.242,115.375,1717,2
1963,"Guatemala_Fuego",14.473,-90.88,3763,3
1963,"Costa Rica_Irazu",9.979,-83.852,3432,3
1964,"Lesser Sunda Is_Paluweh",-8.32,121.708,875,2
1964,"Chile-C_Villarrica",-39.42,-71.93,2847,2
1964,"Java_Dieng Volc Complex",-7.2,109.92,2565,1
1965,"Luzon-Philippines_Taal",14.002,120.993,400,4
1966,"Santa Cruz Is-SW Pac_Tinakula",-10.38,165.8,851,3
1966,"Java_Kelut",-7.93,112.308,1731,4
1966,"Sangihe Is-Indonesia_Awu",3.67,125.5,1320,4
1966,"_Lengai",NA,NA,NA,NA
1967,"_Lengai",NA,NA,NA,NA
1967,"Java_Semeru",-8.108,112.92,3676,3
1967,"Antarctica_Deception Island",-62.97,-60.65,576,3
1968,"Luzon-Philippines_Mayon",13.257,123.685,2462,3
