Year,Name,Location,Latitude,Longitude,Elevation,VEI
1992,Pinatubo,Luzon-Philippines,15.13,120.35,1486,1
1992,Spurr,Alaska-SW,61.3,-152.25,3374,3
1992,Semeru,Java,-8.108,112.92,3676,3
1993,Galeras,Colombia,1.22,-77.37,4276,2
1993,Wurlali,Banda Sea,-7.125,128.675,868,
1993,Mayon,Luzon-Philippines,13.257,123.685,2462,2
1993,Guagua Pichincha,Ecuador,-0.171,-78.598,4784,1
1993,Kilauea,Hawaiian Is,19.425,-155.292,1222,
1993,Krakatau,Indonesia,-6.102,105.423,813,1
1993,Unzen,Kyushu-Japan,32.75,130.3,1500,1
1993,Pinatubo,Luzon-Philippines,15.13,120.35,1486,1
1993,Pinatubo,Luzon-Philippines,15.13,120.35,1486,
1994,Yasur,Vanuatu-SW Pacific,-19.52,169.425,361,3
1994,Semeru,Java,-8.108,112.92,3676,3
1994,Aso,Kyushu-Japan,32.88,131.1,1592,1
1994,Huila,Colombia,2.92,-76.05,5365,
